KEYS,en,chn
S5L15,"But I'm no longer an Imperial soldier, so there's no problem with talking something that everyone knows. Imperial citizens just don't allow the leakage of state secrets. The development of warships like the Skystrike 5 has been reported in the news, so there's no need for confidentiality",不过我已经不是帝国军人了， 所以说一点大家都知道的事情也没啥， 帝国公民只是不允许泄露国家机密， 像天击5型这样的战舰的开发是新闻报道过的， 所以无需保密
S5L16,"Haha, that's great. By the way, last time I gave General Cameron a set of sparkling dresses, did she wear them?",哈哈， 很好， 话说我上次送了卡梅伦将军一套星闪裙， 她有穿过吗？
S5L17,"General Cameron? In my memory, there is only one male General Cameron, and I have never seen him wear a dress. Does he have a cross dressing habit?",卡梅伦将军？在我的记忆里只有一位男性的卡梅伦将军， 我没见过他穿裙子， 难道他有异装癖吗？
S5L18,"Oh, no, no, the other person I'm talking about may not be familiar to you. I've already interviewed you, so let's talk about the benefits",哦， 不不， 我说的另一个人， 可能你不认识吧， 我这边算你面试过了， 我们来谈谈待遇吧
S5L19,"Oh, this is actually my first job as a mercenary, so the salary and benefits will be based on the market price. Also, after retiring, I bought the old buddy I have been using. Can I use my warship for escort work? I have removed the emblem of the empire",哦， 这其实是我的第一份雇佣兵的工作， 所以薪资待遇按照市场价给就行， 另外我在退役后买下了我一直用的老伙计， 我可以使用我的战舰进行护卫工作吗？我已经去掉了帝国的标志了
S5L20,"Of course, the scalability and combat effectiveness of imperial warships have always been quite good. To be honest, this job was actually very dangerous. I was attacked on the way here, and my guards have suffered nerve damage due to mind control drones. They were receiving treatment in the hospital, and my spaceship was also being repaired in a repair shop. Of course, I will pay additional allowances, and in case of accidents, I will also pay additional death benefits",当然可以， 帝国战舰的扩展性和战斗力一直都挺不错的。实不相瞒， 这次的工作其实很危险， 我在来这里的路上被袭击了， 我的护卫都神经受损， 在医院治疗， 我的飞船也在维修厂维修。当然， 我会支付额外的津贴， 万一有意外的话， 也会支付额外的阵亡补贴
S5L21,"Well, I know, as stated in the job posting, I'm not afraid of danger. Rather, danger can make me feel excited",嗯， 我知道， 招聘启事上写了， 我并不惧怕危险， 不如说， 危险能让我感到兴奋
S5L22,"Okay, could you please fill out the form on the terminal and send me your personal information and payment account",好的， 那麻烦你终端上填下表， 把个人信息和付款账户发给我
S5L23,"In a few minutes…\n Okay, I have already sent it to you",几分钟后…\n好的， 发给你了
S5L24,"Well, okay, we'll set off the day after tomorrow to go to the Imperial Core Planet-Planet Light. After I finish handling the matter, I'll return to the Planet WhiteWind in the Interstellar Alliance. I hope everything goes smoothly. Let's discuss the protection strategy now",嗯， 好的， 我们后天出发前往帝国核心星球-光明星， 在我处理完事情后再返回星际联盟的白风星， 希望一切顺利， 我们现在商谈下护卫策略吧
S5L25,"Okay, I hope everything goes smoothly. Regarding the security strategy, could you please explain the situation and possible reasons for the attack?",好的， 希望一切顺利， 关于护卫策略 ， 你能说一下被袭击的情况和可能的原因吗？
S5L26,"I am a diplomat from the Interstellar Alliance. This time, I came to the Empire to go to the Imperial Core Planet-Planet Light for diplomatic negotiations and to ease relations. However, I was attacked near the Planet Giant Shield and had to flee here",我是星际联盟的外交官， 这一次来帝国是要前往帝国核心星球-光明星进行外交磋商和缓和关系， 结果在巨盾星附近被袭击了， 不得已逃到这里
S5L27,"Wait, can I take a look at your Interstellar Alliance identification code?",等等， 我能看一下你的星际联盟识别码吗？
S5L28,"Of course, it has been sent to your terminal",当然， 已发送到你的终端
S5L29,"Surprisingly, it's true? Strange, why were the diplomats of the alliance attacked?",居然是真的？奇怪， 联盟的外交官为何会被袭击？
S5L30,"To be honest, many factions do not expect the relationship between the empire and the alliance to move towards a more harmonious direction. So, it's hard for me to determine which faction sent the attackers, but I remember his warship looked very much like the Empire's Skystrike 4",坦白而言， 很多势力并不期望帝国与联盟之间的关系能够朝着更加和谐的方向迈进。所以我很难断定是哪方势力派出的袭击者， 但我记得他的战舰很像帝国的天击4型
S5L31,"Well, the selling rights of Skystrike 4 have been opened, and many factions have a few ships. Do you have any other clues?",嗯， 天击4型已经开放了售卖权， 很多势力都有几架， 还有其他方面的线索吗？
S5L32,"Hmm......and his combat ability is very strong? Both me and the guards I brought were all elite members of the Alliance, one in a hundred, but both the drones they controlled and my seat ship were shot down by him",嗯…还有他的战斗能力很强？我和我带的护卫都是联盟百里挑一的精锐， 但不管是他们控制的无人机或者我的座舰都被他击落了
S5L33,Do you recruit other guards?,那你有招募其他的护卫吗？
S5L34,"Except for you, everyone else has given up on this mission after understanding the danger. If there are no new members joining the day after tomorrow, then it may only be us",除了你目前没有， 别的人了解这次任务的危险后都放弃了。如果后天前没有新人加入的话， 那可能就只有我们了
S5L35,"Can't we wait a few more days? A little longer, maybe we can recruit more guards",我们不能再等几天吗？时间久一点说不定能招募到更多的护卫
S5L36,"No, I need to complete my diplomatic mission as soon as possible to prevent the Empire from continuing to invade the planet of neutral forces",不行， 我需要尽快完成我的外交任务， 以免帝国继续侵攻中立势力的星球
S5L37,"So, I suggest for this escort mission, how about riding on my warship?",那我建议这次的护送任务， 你乘坐我的战舰如何？
S5L38,"At present, it seems that this is the only way",目前来看只能如此了
S6L1,"On March 15th, in the neutral planet-PeaceRealm- Realmarket City, in the southwest of the city – Grand Hall Hotel",3月15日， 中立星球-和界星-域市城， 城市西南-盛厅酒店
S6L2,"Smart Meow, check Joy's identification code",智喵， 核对悦然的识别码
S6L3,"Cross authentication has been conducted, showing identity as an alliance diplomat, registered two months ago",已进行交叉认证， 显示身份为联盟外交官， 于两个月前注册
S6L4,"Search based on the name Joy and alliance diplomats, skip the imperial database",根据名字悦然和联盟外交官进行检索， 跳过帝国数据库
S6L5,"Four news reports were retrieved, namely ""The Second Daughter of the White Family Enters the Diplomatic Industry as an Adult"", ""The Tomorrow Star of the Alliance Diplomats, Joy White"", ""It must be seen that Miss Joy secretly.., and ""A Story that Miss Joy and I have to Tell"". The protagonist of the news, Joy White, is more than 95% similar to the Joy we have seen before",检索到四条新闻报导， 分别为”白家次女成年进入外交界”， “联盟外交官中的明日之星白悦然”， ”不得不看， 悦然小姐私下竟然…”，  “我与悦然小姐不得不说的故事”， 新闻内容的主角白悦然与我们见过的悦然有95%以上的相似度
S6L6,When was the record of 1537 created and the most recent modification record checked,检查1537号的记录是什么时候创建的和最近一次的修改记录
S6L7,The database shows that it was created two years ago and the most recent modification was made on March 8th of this year,数据库显示创建于两年前， 最近进行了一次的修改时间为今年的3月8日
S6L8,"Restore the record of the last modification of 1537 and show it to me, along with the information of the modifier",还原出1537号的最近一次修改前的记录给我看， 另外显示修改者的信息
S6L9,The original backup of the record has been deleted and displayed as manually deleted. No permission to view operator information,记录的原始备份已被删除， 显示为手动删除， 无权限查看操作人信息
S6L10C1,"Is pro-war faction crazy? This will provoke a war between the alliance and the empire, and I cannot let this happen",主战派疯了吗？这样会挑起联盟和帝国的战争， 我不能让这种事情发生
S6L10C2,"Shit, Joy is a diplomat and a member of the alliance's powerful White family. If I kill her, the alliance will inevitably hold the empire accountable. With the current interstellar situation, I'm probably the scapegoat. If I don't kill her, it's a violation of military orders. Why not report the mission failure and run away",糟糕， 悦然是外交官而且是联盟权贵白家的人， 我如果杀了她， 联盟必然问责帝国， 以目前的星际局势， 我大概就是替罪羊了。如果不杀她， 那是违抗军令， 不如上报任务失败， 然后跑路吧
S6L10C3,"Does Joy touch the interests of someone in the powerful executives, so I need to ""clean up"" it? Forget it, I don't want to think anymore, after all, that's what I do",难道悦然触动了高层中谁的利益， 所以需要我去“清理”？算了， 不想了， 毕竟我就是干这个的
,,
S7L1,"On March 17th, in the neutral planet-PeaceRealm- Realmarket City, in the southwest of the city – Grand Hall Hotel",3月17日， 中立星球-和界星-域市城， 城市西南-盛厅酒店
S7L2,"Hello, Miss Joy. I have something to tell you about this mission. Don't be afraid",你好， 悦然小姐， 关于这次任务， 我有件事要和你说， 你别害怕
S7L3,"You're not going to give up, are you",你不会是要撂挑子吧… 
S7L4,"Ah, that's definitely not......Actually, I…",啊， 那肯定不是…其实我…
S7L5,"As long as you're not running away, it's okay to just say it",只要你不是要跑路， 直说无妨
S7L6,"Actually, I haven't retired yet. I'm still an active Imperial soldier. I received a mission to assassinate you this time",其实我没有退役， 我依然是现役帝国军人， 我这次接到任务来暗杀你
S7L7,"Haha, this joke is good, Pension. Are you going to kill me now?",哈哈， 这个笑话不错， 潘森， 那你现在是要杀我吗？
S7L8,I'm not joking. The pilot of the warship that chased you all the way last time was me. The reason why I am honest with you this time is because I confirmed that you are indeed an alliance diplomat,我没有开玩笑， 上次追杀了你一路的战舰的驾驶员就是我， 我这次之所以坦诚相告是因为确认了你确实是联盟外交官
S7L9,"To be honest, I think if what you're saying is true, then your boss must be crazy. Is plotting to kill an alliance diplomat to go to war? If what you said is false, then your joke is terrible",老实说， 我觉得如果你说的是真的， 那么你的上司一定是疯了， 谋害联盟外交官是想开战吗？如果你说的是假的， 那么你这个笑话真的很烂
S7L10,Aren't you afraid? I'm the one who almost killed you,你不害怕吗？我可是差点干掉你的人啊
S7L11,"No, I'm scared to death right now. I just need to know why you told me this, and I don't really believe what you're saying",不， 其实我现在怕的要死， 只是我需要知道你为什么告诉我这些， 而且我也不是很相信你的话
S7L12,"When I found out that you were an alliance diplomat, I realized that the pro-war faction within the empire could no longer control their ambitions. At that time, if the alliance and the empire go to war that will cause casualties, I don't want this kind of thing to happen",当我确认你是联盟外交官后， 我意识到帝国内的主战派已经控制不住自己的野心了。到时候， 万一联盟和帝国开战， 会导致生灵涂炭， 我不想让这种事情发生
S7L13,"It seems that you're not joking with me, I'll believe you for now. Since you told me, what do you plan to do next?",看来你不是在和我开玩笑， 我姑且相信你。既然你告诉了我， 那你下一步打算怎么办？
S7L14C1,"I originally planned to leave, but considering that there might be other assassins in the future, I hope you can trust me and let me continue to escort you. On the other hand, I hope that if the Empire wants to punish me, you can represent the Alliance to protect me",我本打算一走了之， 但是考虑到后面说不定还会有别的刺客， 所以我希望你能信任我， 让我来继续护送你。相对地， 我希望如果万一帝国要惩戒我， 你能代表联盟庇护我
S7L14C2,"I will report the failure of this mission as I have lost your whereabouts. If it weren't for the mission to assassinate you, I should have retired directly. This time, I happen to be returning directly to my hometown",我会上报这次的任务失败， 我丢失了你的行踪。正好如果没有暗杀你的任务， 我本来就应该直接退役了， 这次我正好直接返回我的家乡
S7L15,"Okay, I understand. Then let's do as you say. Thank you",好的， 我明白了， 那就按你说的做吧， 谢谢你
,,
S8L1,"On March 22nd, Imperial Core Planet-Planet Light - Emperor Capital",3月22日， 帝国核心星球-光明星-帝都
S8L2,"Huh, thanks to you this time, otherwise I might have been killed halfway through",呼， 这次多亏了你， 要不然我说不定在半路就被击杀了
S8L3,"Haha, I didn't expect someone in the empire to want to kill you so much. Even the emblem of the imperial army is too lazy to cover it up",哈哈， 好说好说， 没想到帝国内有人这么想置你于死地， 连帝国军方的标志都懒得遮掩了
S8L4,"So I have one last request, can you please join the alliance? Your capability has been recognized by me, and the current empire seems to be a land of right and wrong. Your behavior of escorting me all the way may cause you trouble, even death. Why don't you change your identity? I'll help you with the alliance procedures, and now I can give you the identity of the diplomatic entourage",那么我还有最后一个请求， 能请你加入联盟吗？你的能力获得了我的认可， 而且目前的帝国看来是是非之地， 你一路护送我的行为可能给你带来麻烦， 甚至杀身之祸。不如就此换个身份， 联盟的手续我帮你走， 现在我就可以给你外交随行人员的身份
S8L5,"Well, based on the strength of the assassination team I encountered on the road, the power to kill you is not small. It seems that I can only temporarily join you. I hope we have a pleasant cooperation. As for joining the alliance, let's wait until I have no way out",嗯， 根据路上遇到的暗杀队的实力来看， 要杀你的势力能量不小， 看来我只有暂时加入你了， 希望合作愉快吗。至于投奔联盟， 等我走投无路再说吧
S8L6,Have a pleasant cooperation. Let's go,合作愉快， 我们走吧
S8L7,"On March 23rd, Imperial Core Planet-Planet Light - Imperial Capital - Palace Foreign Affairs Hall",3月23日， 帝国核心星球-光明星-帝都-皇宫外事厅
S8L8,"Hello, I am Wang.Feng, the Imperial Ceremonial Officer. Before you meet the Emperor, I will briefly train you on etiquette",你好， 我是帝国司仪官王风， 在你觐见帝皇前， 简单地培训下礼仪
S8L9,"Oh, no need, the alliance has specialized diplomatic etiquette training, and I have been working in diplomacy for a while now",啊， 不用了， 联盟有专门的外交礼仪培训， 而且我从事外交工作也有一段时间了
S8L10,"This is not acceptable. It's your first time visiting the empire. What if you collide with the emperor? If you don't receive training, you won't be allowed to meet the emperor",这可不行， 你是第一次来帝国访问， 万一冲撞了帝皇怎么办， 如果你不经过培训， 是不会允许你觐见帝皇的
S8L11,Okay,那好吧…
S8L12,"In fact, there are three bottom lines that cannot be touched when facing the emperor: first, one cannot look directly at the emperor, second, one cannot interrupt the emperor's speech, and third, one cannot refute the emperor",其实， 面见帝皇有三个底线不能触碰， 一是不能直视帝皇， 二是不能打断帝皇说话， 三是不能反驳帝皇
S8L13,Huh? What the hell doesn't make sense of this,哈？这是什么狗屁不通的…
S8L14,Please do not interrupt my training,请不要打断我的培训
S8L15,2 hours later......\n Have you remembered?,2小时后…\n请问你记住了吗？
S8L16,"Remember, remember, mentor, stop reciting. If I had known earlier, I wouldn't have applied to meet the emperor",记住了， 记住了， 师父别再念了。早知道就不申请见帝皇了
S8L17,"Okay, please come with me. Accompanying personnel, please wait here",那好， 请随我来， 随行人员请在此等候
S9L1,"After a period......\nYou were arrested for treason and imprisoned in the Imperial Prison, while Joy was imprisoned in a nearby cell","一段时间后…\n你因叛国罪被捕,关押在帝国监狱， 悦然被关在旁边的牢房"
S9L2,"By the way, should you explain what happened?",话说， 你是不是应该解释下发生了什么?
S9L3,"Haha, haha, I didn't expect the emperor to be so stingy",哈哈， 哈哈， 没想到帝皇这么小气
S9L4,So what exactly did you say that led us to be detained,所以你到底说了什么， 导致咱们被关押
S9L5,"I condemned the Empire's attack on me......I admit that I was very angry and my words were a bit extreme, and then I broke through all three bottom lines that Wang.Feng said",我就谴责了下帝国袭击我的过错…我承认我很生气， 言辞有点过激， 然后我就把王风说的三条底线都突破了…
S9L6,"Puff......hahaha......okay, you're so brave. Sigh, I guess my retirement pension will be ruined. But don't worry too much. When the emperor's anger subsides, we should be released",噗…哈哈哈…好吧， 你好勇啊。 唉， 估计我的退休金泡汤了。不过不用太过担心， 等帝皇气消了， 我们应该就被放出去了
S9L7,"No, we should still wait for the opportunity to leave. According to intelligence, this kind of mixed prison is usually a death row, and the embassy of the alliance here will rescue us",不行， 我们还是应该伺机离开， 按照情报显示， 这种男女混监的高级监狱一般是死牢， 联盟在这里的大使馆会救助我们的
S9L8,"I am an officer of the empire and have made great contributions. You are a diplomat of the alliance, and killing you is equivalent to declaring war. The emperor should not be so foolish, should he?",我是帝国的军官， 立下过汗马功劳， 你是联盟的外交官， 杀了你相当于宣战。帝皇应该不至于如此昏聩吧？
S9L9,"Even if the emperor is not foolish, what about his subordinates? And his behavior of imprisoning the two of us is not very clever. It's better to be careful",就算帝皇不昏聩， 但是他的手下呢？而且他这种关押我们两人的行为， 也没看出来多高明啊， 还是小心点好
S9L10,"Let's not talk about this anymore. Let's talk about the alliance. I used to only read information about the alliance online, and I was quite curious about your actual situation",不说这个了， 不如我们聊聊联盟吧， 我以前只在网上看过关于联盟的信息， 对你们的实际情况还挺好奇的
S9L11,"To be honest, I am also quite curious about the situation of the empire. The intelligence sent back by the intelligence agencies is too superficial",老实说， 我对帝国的情况也挺好奇的， 情报部门传回的情报都太表面了
S9L12,Then the two big hearts started chatting in the prison,随后两个大心脏在监牢里聊了起来…
S10L1,"On April 28th, Imperial Core Planet-Planet Light - Imperial Capital - Imperial Prison",4月28日， 帝国核心星球-光明星-帝都-帝国监牢
S10L2,"Ah ah ah, it's been a month now, why haven't you let me go? What exactly does the emperor want to do? Damn it, my retirement life",啊啊啊啊， 已经一个月了， 为什么还不放我出去， 帝皇到底想干什么？该死， 我的退休生活啊
