KEYS,en,chn
K_AD_INTRO,"One of the important characters in this game, equipped with a large number of weapons due to extreme wealth, Ability is inviolable",本作重要角色之一， 因为极度富有所以装备有大量武器， 异能不可侵犯
K_NE_INTRO,"One of the important characters in this game, skilled in combat art and warship maintenance, Ability Rapid Repair (affected by hp recovery)",本作重要角色之一， 精擅战斗艺术与战舰维修， 异能极速维修（受生命恢复影响）
K_AS_INTRO,"One of the important characters in this game, possessing high rationality and combat intuition, Ability divine enlightenment (influenced by sanity)",本作重要角色之一， 拥有较高的理智与战斗直觉， 异能神启（受理智影响）
K_M_INTRO,"A widow with a business acumen appeared on the battlefield for some unknown reason, Ability cornucopia (Obtain bounty periodically based on Extra bounty)",一位富有经商头脑的未亡人， 不知为何出现在了战场， 异能聚宝盆（按额外赏金周期性获得赏金）
K_RC_INTRO,"The research dog, driven crazy, plans to join the battlefield with the intention of destorying everything, Ability is Cataclysm(Deal damage to the enemy at the cost of hp by half of max hp)",被逼疯的科研狗， 带着天地同寿的打算加入战场， 异能毁天灭地（以一半最大生命的生命为代价对敌人造成伤害）
,,
N_IC,Pension,潘森
N_AD,Joy,悦然
N_NE,Sage,莎姬
N_AS,Luna,露娜
,,
N_XZ,Xi.Zhihong,戏志宏
N_SM,Smart Meow,智喵
N_CR,Conscription robot,征兵机器人
N_MO,Military official,军官
N_AO,All the officers,众军官们
N_ACM,A certain mercenary,某佣兵
N_MS,Mercenaries,佣兵们
N_PS,Prosecutor,公诉人
N_CJ,Chief Judge,审判长
N_DLY,Duan.LinYin,段林吟
N_AT,Alec  Tyr,泰尔.亚力克
N_CT,Catherine Thunderstrike,雷霆. 凯特琳
N_RC,Robert Cybercore,机核.罗伯特
N_JW,Jason Wood,伍德.杰森
N_JF,John Fortress,约翰.坚盾
N_CMRN,Cameron,卡梅伦
N_ADS,Audiences,观众们
N_GC,Giant crocodile,巨鳄
N_ACS,A certain soldier,某士兵
N_SS,Soldiers,士兵们
N_ACD,A certain drinker,某酒客
N_CD,Cyndriel,璇玑
N_FW,Forestwise,森睿
N_VI,Vitaliron,生铁
N_WN,Wisdom Nexus,智枢
N_E, Everybody,众人
N_ZANDER,Zander,赞德
N_NV,Navigator,领航员
N_LO,Liaison Officer,联络员
N_EMP,Emperor,帝皇
N_HK,Huck,哈克
N_ZTB,Zhao.Tiebi,赵铁壁
N_ZD,Zoo.Don,左敦
N_WF,Wang.Femh,王风
N_ZJY,Zhang.Jingya,张静雅
N_HSC,Hidden Shadow Crowd,隐影众
N_TRP,The remaining people,余下众人
N_JX,Ju.Xifeng,鞠息烽
N_WE,Wang.Erpao,王二炮
N_IV,Ivan,伊万
N_ZM,Zhang.Mazi,张麻子
N_LZ,Li.Zhanye,李战野
N_ZTZ,"Zhao,Tiezhu",赵铁柱
N_M,Melinda,梅琳达
N_ZL,Zoo.Lan,左兰
